MODO INDEFINITO,MODO INDEFINITO,MODO INDEFINITO,MODO INDEFINITO,MODO INDEFINITO,MODO INDEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,MODO DEFINITO,TRADUZIONE,96
INFINITIVO,INFINITIVO,PARTICIPIO,PARTICIPIO,GERUNDIO,GERUNDIO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,INDICATIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONGIUNTIVO,CONDIZIONALE,CONDIZIONALE,CONDIZIONALE,CONDIZIONALE,CONDIZIONALE,CONDIZIONALE,CONDIZIONALE,CONDIZIONALE,CONDIZIONALE,CONDIZIONALE,CONDIZIONALE,CONDIZIONALE,IMPERATIVO,IMPERATIVO,IMPERATIVO,IMPERATIVO,IMPERATIVO,FRANCESE,
PRESENTE,PASSATO,PRESENTE,PASSATO,PRESENTE,PASSATO,PRESENTE,PRESENTE,PRESENTE,PRESENTE,PRESENTE,PRESENTE,IMPERFETTO,IMPERFETTO,IMPERFETTO,IMPERFETTO,IMPERFETTO,IMPERFETTO,PASSATO REMOTO,PASSATO REMOTO,PASSATO REMOTO,PASSATO REMOTO,PASSATO REMOTO,PASSATO REMOTO,FUTURO SEMPLICE,FUTURO SEMPLICE,FUTURO SEMPLICE,FUTURO SEMPLICE,FUTURO SEMPLICE,FUTURO SEMPLICE,PASSATO PROSSIMO,PASSATO PROSSIMO,PASSATO PROSSIMO,PASSATO PROSSIMO,PASSATO PROSSIMO,PASSATO PROSSIMO,TRAPASSATO PROSSIMO,TRAPASSATO PROSSIMO,TRAPASSATO PROSSIMO,TRAPASSATO PROSSIMO,TRAPASSATO PROSSIMO,TRAPASSATO PROSSIMO,TRAPASSATO REMOTO,TRAPASSATO REMOTO,TRAPASSATO REMOTO,TRAPASSATO REMOTO,TRAPASSATO REMOTO,TRAPASSATO REMOTO,FUTURO ANTERIORE,FUTURO ANTERIORE,FUTURO ANTERIORE,FUTURO ANTERIORE,FUTURO ANTERIORE,FUTURO ANTERIORE,PRESENTE,PRESENTE,PRESENTE,PRESENTE,PRESENTE,PRESENTE,IMPERFETTO,IMPERFETTO,IMPERFETTO,IMPERFETTO,IMPERFETTO,IMPERFETTO,PASSATO,PASSATO,PASSATO,PASSATO,PASSATO,PASSATO,TRAPASSATO,TRAPASSATO,TRAPASSATO,TRAPASSATO,TRAPASSATO,TRAPASSATO,PRESENTE,PRESENTE,PRESENTE,PRESENTE,PRESENTE,PRESENTE,PASSATO,PASSATO,PASSATO,PASSATO,PASSATO,PASSATO,PRESENTE,PRESENTE,PRESENTE,PRESENTE,PRESENTE,/,
/,/,/,/,/,/,IO,TU,LUI/LEI,NOI,VOI,LORO,IO,TU,LUI/LEI,NOI,VOI,LORO,IO,TU,LUI/LEI,NOI,VOI,LORO,IO,TU,LUI/LEI,NOI,VOI,LORO,IO,TU,LUI/LEI,NOI,VOI,LORO,IO,TU,LUI/LEI,NOI,VOI,LORO,IO,TU,LUI/LEI,NOI,VOI,LORO,IO,TU,LUI/LEI,NOI,VOI,LORO,IO,TU,LUI/LEI,NOI,VOI,LORO,IO,TU,LUI/LEI,NOI,VOI,LORO,IO,TU,LUI/LEI,NOI,VOI,LORO,IO,TU,LUI/LEI,NOI,VOI,LORO,IO,TU,LUI/LEI,NOI,VOI,LORO,IO,TU,LUI/LEI,NOI,VOI,LORO,TU,LUI/LEI,NOI,VOI,LORO,/,
essere,essere stato,essente,stato,essendo,essendo stato,sono,sei,è,siamo,siete,sono,ero,eri,era,eravamo,eravata,erano,fui,fosti,fu,fummo,foste,furono,sarò,sarai,sarà,saremo,sarete,saranno,sono stato,sei stato,è stato,siamo stati,siete stati,sono stati,ero stato,eri stato,era stato,eravamo stati,eravate stati,erano stati,fui stato,fosti stato,fu stato,fummo stati,foste stati,furono stati,sarò stato,sarai stato,sarà stato,saremo stati,sarete stati,saranno stati,sia,sia,sia,siamo,siate,siano,fossi,fossi,fosse,fossimo,foste,fossero,sia stato,sia stato,sia stato,siamo stati,siate stati,siano stati,fossi stato,fossi stato,fosse stato,fossimo stati,foste stati,fossero stati,sarei,saresti,sarebbe,saremmo,sareste,sarebbero,sarei stato,saresti stato,sarebbe stato,saremmo stati,sareste stati,sarebbero stati,sii,sia,siamo,siate,siano,être,
avere,avere avuto,avente,avuto,avendo,avendo avuto,ho,hai,ha,abbiamo,avete,hanno,avevo,avevi,aveva,avevamo,avevate,avevano,ebbi,avesti,ebbe,avemmo,aveste,ebbero,avrò,avrai,avrà,avremo,avrete,avranno,ho avuto,hai avuto,ha avuto,abbiamo avuto,avete avuto,hanno avuto,avevo avuto,avevi avuto,aveva avuto,avevamo avuto,avevate avuto,avevano avuto,ebbi avuto,avesti avuto,ebbe avuto,avemmo avuto,aveste avuto,ebbero avuto,avrò avuto,avrai avuto,avrà avuto,avremo avuto,avrete avuto,avranno avuto,abbia,abbia,abbia,abbiamo,abbiate,abbiano,avessi,avessi,avesse,avessimo,aveste,avessero,abbia avuto,abbia avuto,abbia avuto,abbiamo avuto,abbiate avuto,abbiano avuto,avessi avuto,avessi avuto,avesse avuto,avessimo avuto,aveste avuto,avessero avuto,avrei,avresti,avrebbe,avremmo,avreste,avrebbero,avrei avuto,avresti avuto,avrebbe avuto,avremmo avuto,avreste avuto,avrebbero avuto,abbi,abbia,abbiamo,abbiate,abbiano,avoir,
andare,essere andato,andante,andato,andando,essendo andato,vado,vai,va,andiamo,andate,vanno,andavo,andavi,andava,andavamo,andavate,andavano,andai,andasti,andò,andammo,andaste,andarono,andrò,andrai,andrà,andremo,andrete,andranno,sono andato,sei andato,è andato,siamo andati,siete andati,sono andati,ero andato,eri andato,era andato,eravamo andati,eravate andati,erano andati,fui andato,fosti andato,fu andato,fummo andati,foste andati,furono andati,sarò andato,sarai andato,sarà andato,saremo andati,sarete andati,saranno andati,vada,vada,vada,andiamo,andiate,vadano,andassi,andassi,andasse,andassimo,andaste,andassero,sia andato,sia andato,sia andato,siamo andati,siate andati,siano andati,fossi andato,fossi andato,fosse andato,fossimo andati,foste andati,fossero andati,andrei,andresti,andrebbe,andremmo,andreste,andrebbero,sarei andato,saresti andato,sarebbe andato,saremmo andati,sareste andati,sarebbero andati,va',vada,andiamo,andate,vadano,aller,
fare,avere fatto,facente,fatto,facendo,avendo fatto,faccio,fai,fa,facciamo,fate,fanno,facevo,facevi,faceva,facevamo,facevate,facevano,feci,facesti,fece,facemmo,faceste,fecero,farò,farai,farà,faremo,farete,faranno,ho fatto,hai fatto,ha fatto,abbiamo fatto,avete fatto,hanno fatto,avevo fatto,avevi fatto,aveva fatto,avevamo fatto,avevate fatto,avevano fatto,ebbi fatto,avesti fatto,ebbe fatto,avemmo fatto,aveste fatto,ebbero fatto,avrò fatto,avrai fatto,avrà fatto,avremo fatto,avrete fatto,avranno fatto,faccia,faccia,faccia,facciamo,facciate,facciano,facessi,facessi,facesse,facessimo,faceste,facessero,abbia fatto,abbia fatto,abbia fatto,abbiamo fatto,abbiate fatto,abbiano fatto,avessi fatto,avessi fatto,avesse fatto,avessimo fatto,aveste fatto,avessero fatto,farei,faresti,farebbe,faremmo,fareste,farebbero,avrei fatto,avresti fatto,avrebbe fatto,avremmo fatto,avreste fatto,avrebbero fatto,fa',faccia,facciamo,fate,facciano,faire,
potere,avere potuto,potente,potuto,potendo,avendo potuto,posso,puoi,può,possiamo,potete,possono,potevo,potevi,poteva,potevamo,potevate,potevano,potei,potesti,poté,potemmo,poteste,poterono,potrò,potrai,potrà,potremo,potrete,potranno,ho potuto,hai potuto,ha potuto,abbiamo potuto,avete potuto,hanno potuto,avevo potuto,avevi potuto,aveva potuto,avevamo potuto,avevate potuto,avevano potuto,ebbi potuto,avesti potuto,ebbe potuto,avemmo potuto,aveste potuto,ebbero potuto,avrò potuto,avrai potuto,avrà potuto,avremo potuto,avrete potuto,avranno potuto,possa,possa,possa,possiamo,possiate,possano,potessi,potessi,potesse,potessimo,poteste,potessero,abbia potuto,abbia potuto,abbia potuto,abbiamo potuto,abbiate potuto,abbiano potuto,avessi potuto,avessi potuto,avesse potuto,avessimo potuto,aveste potuto,avessero potuto,potrei,potresti,potrebbe,potremmo,potreste,potrebbero,avrei potuto,avresti potuto,avrebbe potuto,avremmo potuto,avreste potuto,avrebbero potuto,,,,,,pouvoir,
volere,avere voluto,volente,voluto,volendo,avendo voluto,voglio,vuoi,vuole,vogliamo,volete,vogliono,volevo,volevi,voleva,volevamo,volevate,volevano,volli,volesti,volle,volemmo,voleste,vollero,vorrò,vorrai,vorrà,vorremo,vorrete,vorranno,ho voluto,hai voluto,ha voluto,abbiamo voluto,avete voluto,hanno voluto,avevo voluto,avevi voluto,aveva voluto,avevamo voluto,avevate voluto,avevano voluto,ebbi voluto,avesti voluto,ebbe voluto,avemmo voluto,aveste voluto,ebbero voluto,avrò voluto,avrai voluto,avrà voluto,avremo voluto,avrete voluto,avranno voluto,voglia,voglia,voglia,vogliamo,vogliate,vogliano,volessi,volessi,volesse,volessimo,voleste,volessero,abbia voluto,abbia voluto,abbia voluto,abbiamo voluto,abbiate voluto,abbiano voluto,avessi voluto,avessi voluto,avesse voluto,avessimo voluto,aveste voluto,avessero voluto,vorrei,vorresti,vorrebbe,vorremmo,vorreste,vorrebbero,avrei voluto,avresti voluto,avrebbe voluto,avremmo voluto,avreste voluto,avrebbero voluto,vogli,voglia,vogliamo,vogliate,vogliano,vouloir,
